Source,Item,SKU,Base Price,COGS,Date Listed,Year Month Listed,Platform Sold,Gross Sales,Platform Fee,Shipping,Gross Profit,Net Profit,Date Sold,Year Month Sold,Age of Listing
Closet,Ann Taylor Red Geometric Tank,A0001,$0.00 ,$0.00 ,9/17/2019,20199,Poshmark,$5.00 ,$2.95 ,$0.00 ,$2.05 ,$2.05 ,12/8/2019,201912,82
Closet,H&M Printed Sleeveless Blouse,A0002,$0.00 ,$0.00 ,9/17/2019,20199,Poshmark,$11.00 ,$2.20 ,$0.00 ,$8.80 ,$8.80 ,3/1/2020,20203,166
Closet,Who What Wear Floral High-Low Blouse,A0003,$0.00 ,$0.00 ,9/17/2019,20199,Poshmark,$8.33 ,$1.67 ,$0.00 ,$6.67 ,$6.67 ,4/23/2020,20204,219
Closet,Who What Wear Striped High-Low Blouse,A0004,$0.00 ,$0.00 ,9/17/2019,20199,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$12.00 ,1/12/2020,20201,117
Closet,EXPRESS Zip Back Crew Neck Gramercy Tee Navy,A0005,$0.00 ,$0.00 ,9/17/2019,20199,Poshmark,$12.00 ,$2.40 ,$0.90 ,$8.70 ,$8.70 ,9/18/2019,20199,1
Closet,EXPRESS Zip Back Crew Neck Gramercy Tee Blush,A0006,$0.00 ,$0.00 ,9/17/2019,20199,Poshmark,$12.00 ,$2.40 ,$0.90 ,$8.70 ,$8.70 ,9/18/2019,20199,1
Closet,Ann Taylor Floral Peplum Cap Sleeve Blouse,A0007,$0.00 ,$0.00 ,9/17/2019,20199,,,,,,,,,1071
Closet,Cream/White Knit Sweater,A0008,$0.00 ,$0.00 ,9/17/2019,20199,Poshmark,$16.00 ,$3.75 ,$0.53 ,$11.72 ,$11.72 ,4/3/2020,20204,199
Closet,Dana Buchman Metallic Cream 3/4 Sleeve Sweater,A0009,$0.00 ,$0.00 ,9/17/2019,20199,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$12.00 ,12/27/2019,201912,101
Closet,a.n.a. Red Knit Sweater,A0010,$0.00 ,$0.00 ,9/17/2019,20199,ThredUp,$24.99 ,$20.61 ,$0.00 ,$4.38 ,$4.38 ,9/22/2020,20209,371
Closet,Mudd High Low Knit Sweater,A0011,$0.00 ,$0.00 ,9/17/2019,20199,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,10/25/2020,202010,404
