Bin#,Source,Item,SKU,Base Price,COGS,Date Listed,Year Month Listed,Platform Sold,Gross Sales,Platform Fee,Shipping,Gross Profit,Net Profit,Date Sold,Year Month Sold,Age of Listing
,Closet,Ann Taylor Floral Peplum Cap Sleeve Blouse,A0007,$0.00 ,$0.00 ,9/17/2019,20199,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$12.00 ,4/15/2021,20214,576
13,Closet,Old Navy Pixie Chino Tan Shorts,A0037,$0.00 ,$0.00 ,9/19/2019,20199,,,,,,,,,1069
14,Closet,Coral infinity scarf,A0043,$0.00 ,$0.00 ,1/20/2020,20201,,,,,,,,,946
14,Closet,Black lightweight infinity scarf,A0046,$0.00 ,$0.00 ,1/20/2020,20201,,,,,,,,,946
14,Closet,Grey patterned infinity scarf,A0048,$0.00 ,$0.00 ,1/21/2020,20201,,,,,,,,,945
14,Closet,Red knit scarf,A0049,$0.00 ,$0.00 ,1/21/2020,20201,,,,,,,,,945
14,Closet,Green & white scarf,A0056,$0.00 ,$0.00 ,1/20/2020,20201,,,,,,,,,946
3,Closet,Francesca's Miami Floral Blouse,A0058,$0.00 ,$0.00 ,2/1/2019,20192,,,,,,,,,1299
12-Nov,Closet,Banana Republic Dress,A0070,$0.00 ,$0.00 ,9/19/2019,20199,,,,,,,,,1069
13,Closet,Express Button Front Shorts,A0076,$0.00 ,$0.00 ,9/17/2019,20199,,,,,,,,,1071
,Closet,NYDJ's Pintuck Pleat Back Blouse,A0084,$0.00 ,$0.00 ,4/4/2021,20214,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$16.00 ,7/10/2021,20217,97
3,Garage Sale,Navy chiffon tunic cold shoulder sleeves,A0088,$2.50 ,$2.50 ,9/14/2019,20199,,,,,,,,,1074
7,Garage Sale,Umgee Boho Pink cold shoulder blouse,A0090,$2.50 ,$2.50 ,9/14/2019,20199,,,,,,,,,1074
,Texas Thrift Store,Chelsea & Violet boho peasant cold shoulder top,A0091,$2.00 ,$2.17 ,9/29/2019,20199,Poshmark,$18.00 ,$3.60 ,$0.00 ,$14.40 ,$12.24 ,4/5/2021,20214,554
,Texas Thrift Store,Boho Navy Embroidered Tank,A0094,$2.09 ,$2.26 ,4/4/2021,20214,Poshmark,$14.00 ,$2.95 ,$2.46 ,$8.59 ,$6.33 ,5/29/2021,20215,55
12-Nov,Texas Thrift Store,Vintage chambray button up dress,A0104,$1.98 ,$2.14 ,4/4/2021,20214,,,,,,,,,506
7,Texas Thrift Store,GAP Fitted Boyfriend Long Sleeve Button Down Up,A0121,$2.49 ,$2.70 ,11/20/2019,201911,,,,,,,,,1007
,Texas Thrift Store,J. Crew The Perfect Shirt Pastel Plaid Button Down,A0122,$1.99 ,$2.15 ,9/30/2019,20199,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,($2.15),3/30/2021,20213,547
5,Texas Thrift Store,Poetry white blouse with black cross design,A0123,$1.49 ,$1.61 ,11/13/2019,201911,,,,,,,,,1014
5,Texas Thrift Store,love FIRE blue and orange floral button up tank,A0132,$2.09 ,$2.26 ,11/13/2019,201911,,,,,,,,,1014
5,Texas Thrift Store,BKE Grey long sleeve distressed top,A0134,$2.98 ,$3.23 ,7/12/2021,,,,,,,,,,407
,Texas Thrift Store,Altar'd State Tan/Cream Knit Top/Tunic Boho,A0139,$0.99 ,$1.07 ,11/21/2019,201911,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,($1.07),3/30/2021,20213,495
3,Texas Thrift Store,Joie Silk Acacia Dolman Top Striped Neon,A0140,$0.99 ,$1.07 ,11/12/2019,201911,,,,,,,,,1015
12-Nov,Texas Thrift Store,J. Crew Chambray denim short sleeved dress,A0146,$0.99 ,$1.07 ,11/21/2019,201911,,,,,,,,,1006
,Texas Thrift Store,Rare Eric Bompard horse/rabbit Printed Tee,A0153,$2.50 ,$2.71 ,11/20/2019,201911,Poshmark,$30.00 ,$6.00 ,$2.46 ,$21.54 ,$18.83 ,3/28/2021,20213,494
7,Texas Thrift Store,Urban Outfitters X Alternative Apparel Graphic Tee Donkey,A0154,$0.99 ,$1.07 ,7/11/2021,20217,,,,,,,,,408
2,Closet,Lucky Brand Orange Navy Cream Print Long Sleeve Top,A0156,$0.00 ,$0.00 ,2/1/2019,20192,,,,,,,,,1299
3,Garage Sale,Hollister Semi Cropped Blouse,A0162,$2.00 ,$2.00 ,4/5/2021,20214,,,,,,,,,505
,Closet,PIKO 1988 Black Bodycon Long Sleeve Dress,A0174,$0.00 ,$0.00 ,4/4/2021,20214,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$12.00 ,9/9/2021,20219,158
12-Nov,Closet,Rampage Black Bodycon Strappy Cocktail Dress,A0176,$0.00 ,$0.00 ,11/13/2019,201911,,,,,,,,,1014
,Closet,a new day White Cable Knit Pull Over Sweater,A0179,$0.00 ,$0.00 ,11/13/2019,201911,Poshmark,$14.00 ,$2.95 ,$2.12 ,$8.93 ,$8.93 ,1/18/2021,20211,432
10-Sep,Texas Thrift Store,7 for all Mankind Dark Wash Bootcut Jeans,A0183,$0.99 ,$1.07 ,11/15/2019,201911,,,,,,,,,1012
10-Sep,Texas Thrift Store,Fossil Brand Jeans 'Vintage' Style,A0184,$0.99 ,$1.07 ,11/15/2019,201911,Poshmark,$18.00 ,$3.60 ,$0.00 ,$14.40 ,$13.33 ,10/17/2021,202110,702
4,Closet,Poetry Aztec Top,A0187,$0.00 ,$0.00 ,9/14/2019,20199,,,,,,,,,1074
,Garage Sale,Andrea Jovine NWT Chambray sleevless high/low top,A0193,$2.00 ,$2.00 ,9/14/2019,20199,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$10.00 ,3/1/2021,20213,534
10-Sep,Texas Thrift Store,Ann Taylor Loft Curvy Boot Jeans,A0219,$2.50 ,$2.71 ,11/23/2019,201911,,,,,,,,,1004
10-Sep,Texas Thrift Store,GAP Curvy Flare Jeans,A0221,$2.50 ,$2.71 ,11/23/2019,201911,,,,,,,,,1004
WEARING,Thrift City Outlet,american eagle wrap blouse with bell sleeves,A0226,$2.00 ,$2.17 ,WEARING,,,,,,,,,,
2,Thrift City Outlet,Lucky Brand Floral Boho Peasant Top Cream Blue Floral,A0231,$2.00 ,$2.17 ,12/4/2019,201912,,,,,,,,,993
,Thrift City Outlet,American Eagle Floral Ruffle Strappy Tank Pink Grey,A0232,$2.00 ,$2.17 ,12/4/2019,201912,,,,,,,,,993
,Thrift City Outlet,Ralph Lauren Sport Pink White Strip Crew Tee,A0235,$2.00 ,$2.17 ,12/4/2019,201912,Poshmark,$12.00 ,$2.95 ,$2.46 ,$6.59 ,$4.43 ,5/3/2021,20215,516
5,Closet,Ann Taylor Loft Colorful Striped Boatneck Top XS,A0237,$0.00 ,$0.00 ,12/6/2020,202012,,,,,,,,,625
10-Sep,Thrift City Outlet,American Eagle Favorite Boyfriend Stretch Jeans,A0239,$2.00 ,$2.17 ,12/5/2019,201912,,,,,,,,,992
10-Sep,Thrift City Outlet,Kate Spade Saturday Two Toned Skinny Jeans,A0241,$2.00 ,$2.17 ,12/5/2019,201912,,,,,,,,,992
WEARING,Texas Thrift Store,Marc by Marc Jacobs black knit top,A0242,$2.50 ,$2.71 ,12/4/2019,201912,,,,,,,,,993
1,Texas Thrift Store,Pebble and Stone Anthropologie Heather Grey Sweater Wide Sleeves,A0244,$4.00 ,$4.33 ,12/4/2019,201912,,,,,,,,,993
1,Texas Thrift Store,J. Crew Pink Purple Floral Sweatshirt,A0245,$4.00 ,$4.33 ,12/4/2019,201912,,,,,,,,,993
,Texas Thrift Store,Ann Taylor Loft Original Boot,A0246,$0.99 ,$1.07 ,12/5/2019,201912,Poshmark,$15.00 ,$3.00 ,$7.45 ,$4.55 ,$3.48 ,6/5/2021,20216,548
10-Sep,Texas Thrift Store,Lauren Conrad Jeans Dark Wash,A0249,$0.99 ,$1.07 ,12/5/2019,201912,,,,,,,,,992
10-Sep,Texas Thrift Store,7FAM A Pocket Flare Jeans 27,A0250,$0.99 ,$1.07 ,12/5/2019,201912,,,,,,,,,992
10-Sep,Texas Thrift Store,Rock & Republic Midrise Skinny Jeans Floral Design,A0251,$0.99 ,$1.07 ,12/5/2019,201912,,,,,,,,,992
3,Texas Thrift Store,J. Crew white teal navy print top long sleeve,A0254,$0.99 ,$1.07 ,12/4/2019,201912,,,,,,,,,993
,Texas Thrift Store,American Rag Cie brown floral sheer dress,A0256,$0.99 ,$1.07 ,12/4/2019,201912,Poshmark,$18.00 ,$3.60 ,$2.46 ,$11.94 ,$10.87 ,10/16/2021,202110,682
,Texas Thrift Store,Vince Camuto Black Blue Foral Wrap Long Sleeved Top,A0262,$0.99 ,$1.07 ,12/8/2019,201912,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,($1.07),3/30/2021,20213,478
,Texas Thrift Store,MICHAEL Michael Kors Navy Black White Print Button Up,A0265,$0.99 ,$1.07 ,1/11/2020,20201,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,($1.07),3/30/2021,20213,444
,Texas Thrift Store,Ann Taylor LOFT Dark Grey Utility Jacket,A0274,$4.99 ,$5.40 ,12/8/2019,201912,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$10.60 ,1/17/2021,20211,406
1,Texas Thrift Store,Altar'd State Grey White Lace Knit Sweater,A0276,$1.99 ,$2.15 ,12/9/2019,201912,,,,,,,,,988
10-Sep,Salvation Army,American Eagle Skinny Stretch Jeans,A0278,$3.50 ,$3.78 ,12/8/2019,201912,,,,,,,,,989
7,Salvation Army,The Limited Printed Blouse,A0281,$1.50 ,$1.62 ,12/9/2019,201912,,,,,,,,,988
1,Salvation Army,Ann Taylor White Anchor Nautical Sweater ,A0282,$3.50 ,$3.78 ,12/9/2019,201912,,,,,,,,,988
10-Sep,Closet,LulaRoe Legging aztec boho tribal print one size,A0285,$0.00 ,$0.00 ,12/6/2019,201912,,,,,,,,,991
,Closet,LulaRoe Legging aztec boho tribal print one size,A0286,$0.00 ,$0.00 ,12/6/2019,201912,Poshmark,$20.00 ,$4.00 ,$7.45 ,$8.55 ,$8.55 ,4/7/2021,20214,488
10-Sep,Closet,LulaRoe Legging aztec boho tribal print one size,A0287,$0.00 ,$0.00 ,12/6/2019,201912,,,,,,,,,991
10-Sep,Closet,LulaRoe Legging aztec boho tribal print one size,A0289,$0.00 ,$0.00 ,12/6/2019,201912,,,,,,,,,991
7,Thrift City Outlet,Gianni Bini dolman sleeve colorblock blouse,A0291,$2.00 ,$2.17 ,12/19/2019,201912,,,,,,,,,978
2,Thrift City Outlet,Lucky Brand | Paisley Print Top Boho Hippie Gypsy S,A0293,$2.00 ,$2.17 ,4/3/2021,20214,,,,,,,,,507
1,Thrift City Outlet,Cloth & Stone Anthropologie button down soft denim,A0296,$2.00 ,$2.17 ,12/22/2019,201912,,,,,,,,,975
7,Thrift City Outlet,Michael Michael Kors Lime Green Loose Fit Blouse,A0298,$2.00 ,$2.17 ,12/22/2019,201912,,,,,,,,,975
1,Thrift City Outlet,Maeve by Anthropologie Pink & White Stripe Top,A0299,$2.00 ,$2.17 ,12/23/2019,201912,,,,,,,,,974
3,Thrift City Outlet,STL Cardinals Nike T-Shirt V Neck Baseball Logo,A0300,$2.00 ,$2.17 ,12/23/2019,201912,Poshmark,$18.00 ,$3.60 ,$2.46 ,$11.94 ,$9.78 ,7/28/2021,20217,583
1,Thrift City Outlet,Kaii Los Angeles Summer Tie Front Blouse,A0303,$2.00 ,$2.17 ,12/23/2019,201912,,,,,,,,,974
1,Thrift City Outlet,Francesca's miami long sleeved keyhole scoop neck stripe,A0306,$2.00 ,$2.17 ,12/26/2019,201912,,,,,,,,,971
1,Thrift City Outlet,Zara Faux Wrap Sweater Pullover Grey Plunge,A0309,$2.00 ,$2.17 ,12/26/2019,201912,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$13.84 ,10/25/2021,202110,669
1,Goodwill Austin Hwy,Lucky Brand Paisley Boho Hippie Gypsy Long Sleeve Top,A0314,$4.79 ,$5.19 ,12/26/2019,201912,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$10.81 ,7/29/2021,20217,581
N/A,Thrift City,BASS Congac Ankle Booties Slip On Heel Pointed Toe Absolute Leather,A0316,$7.57 ,$8.19 ,1/6/2020,20201,,,,,,,,,960
7,Thrift City,Lauren Conrad Daisy Floral Knit Crocheted Top,A0317,$2.72 ,$2.94 ,1/5/2020,20201,,,,,,,,,961
1,Thrift City,Madewell Stripe 3/4 Sleeve Top Green Black,A0318,$2.92 ,$3.16 ,1/5/2020,20201,,,,,,,,,961
2,Thrift City,Lucky Brand Paisley Boho Hippie Gypsy V-neck Tassel,A0320,$4.94 ,$5.35 ,4/3/2021,20214,,,,,,,,,507
,Thrift City,Umgee NWT Boho Off the Shoulder Dress Crochet,A0323,$3.93 ,$4.25 ,1/3/2020,20201,Poshmark,$21.29 ,$4.26 ,$1.06 ,$15.96 ,$11.71 ,5/28/2021,20215,511
1,Thrift City,Anthropologie Maeve Linden Polka Dot Dolman Sleeve,A0328,$4.94 ,$5.35 ,1/7/2020,20201,,,,,,,,,959
1,Goodwill Austin Hwy,Cabi Cross Zip Moto Sweater Jacket,A0336,$4.79 ,$5.19 ,1/8/2020,20201,,,,,,,,,958
1,Goodwill Austin Hwy,Cabi Double Button Blazer Peacoat Sweater Jacket,A0337,$6.49 ,$7.03 ,1/8/2020,20201,,,,,,,,,958
,Thrift City Outlet,7FAM A Pocket Flare Jeans 29,A0344,$2.00 ,$2.17 ,1/13/2020,20201,Poshmark,$36.00 ,$7.20 ,$0.00 ,$28.80 ,$26.64 ,4/29/2021,20214,472
,Thrift City Outlet,Hollister Skinny Jeans Dark Wash Distressed Size 1S 25x30,A0347,$2.00 ,$2.17 ,1/14/2020,20201,Facebook,$18.00 ,$0.99 ,$5.42 ,$11.59 ,$9.43 ,3/19/2021,20213,430
,Texas Thrift Store,7FAM Pink A Pocket Cut Off Shorts Size 26,A0350,$4.98 ,$5.39 ,1/8/2020,20201,Poshmark,$25.00 ,$5.00 ,$7.45 ,$12.55 ,$7.16 ,7/4/2021,20217,543
,Texas Thrift Store,Joe's Provocateur Flare Jeans Dark Wash Size 27,A0351,$3.49 ,$3.78 ,1/12/2020,20201,Poshmark,$28.00 ,$5.60 ,$2.12 ,$20.28 ,$16.50 ,1/24/2021,20211,378
10-Sep,Texas Thrift Store,Paige Blue Heights Straight Leg Size 28,A0352,$3.49 ,$3.78 ,1/12/2020,20201,Poshmark,$18.00 ,$3.60 ,$2.46 ,$11.94 ,$8.16 ,10/25/2021,202110,652
